Date,Close,High,Low,Open,Volume
2015/2/25,18224.57031,18244.38086,18182.75977,18208.66992,80480000
2015/2/26,18214.41992,18239.42969,18157.07031,18224.41016,81500000
2015/2/27,18132.69922,18213.25977,18132.38086,18213.25977,101110000
2015/3/2,18288.63086,18288.63086,18122.58984,18134.05078,89790000
2015/3/3,18203.36914,18281.94922,18136.88086,18281.94922,83830000
2015/3/4,18096.90039,18203.36914,18029.5,18203.36914,80900000
2015/3/5,18135.7207,18160.34961,18087.65039,18096.90039,75840000
2015/3/6,17856.7793,18135.7207,17825.15039,18135.7207,113350000
2015/3/9,17995.7207,18031.03906,17856.56055,17856.56055,85820000
2015/3/10,17662.93945,17989.56055,17662.93945,17989.56055,120450000
2015/3/11,17635.39063,17731.7793,17627,17662.93945,102120000
2015/3/12,17895.2207,17900.09961,17620.49023,17626.83984,111550000
2015/3/13,17749.31055,17889.05078,17629.89063,17889.05078,113620000
2015/3/16,17977.41992,17988.5,17751.24023,17751.24023,101760000
2015/3/17,17849.08008,17972.2207,17785.78906,17972.2207,82560000
2015/3/18,18076.18945,18097.11914,17697.51953,17846.80078,130950000
2015/3/19,17959.0293,18072.99023,17934.24023,18072.58008,107820000
2015/3/20,18127.65039,18197.28906,17961.13086,17961.13086,333870000
2015/3/23,18116.03906,18205.92969,18116.03906,18136.73047,98030000
2015/3/24,18011.14063,18149.24023,18010.43945,18110.86914,87190000
2015/3/25,17718.53906,18041.9707,17718.53906,18012.60938,106560000
2015/3/26,17678.23047,17759.50977,17579.26953,17716.26953,117740000
2015/3/27,17712.66016,17729.14063,17630.49023,17673.63086,103220000
2015/3/30,17976.31055,18008.64063,17727.48047,17727.48047,104040000
2015/3/31,17776.11914,17965.36914,17773.01953,17965.36914,119470000
2015/4/1,17698.17969,17778.51953,17585.00977,17778.51953,103360000
2015/4/2,17763.24023,17815.0293,17673.49023,17699.51953,87370000
2015/4/6,17880.84961,17941.78906,17646.80078,17755.5,100850000
2015/4/7,17875.41992,17983.11914,17871.21094,17884.32031,72150000
2015/4/8,17902.50977,17976.19922,17822.23047,17877.61914,76820000
2015/4/9,17958.73047,17984.2207,17823.09961,17902.50977,86740000
2015/4/10,18057.65039,18066.75977,17945.55078,17956.73047,116410000
2015/4/13,17977.03906,18107.57031,17974.81055,18052.32031,120090000
2015/4/14,18036.69922,18075.59961,17905.48047,17979.10938,82830000
2015/4/15,18112.60938,18160.51953,18045.71094,18045.71094,113610000
2015/4/16,18105.76953,18169.25977,18063.85938,18106.26953,89520000
2015/4/17,17826.30078,18102.56055,17748.5293,18102.56055,138860000
2015/4/20,18034.92969,18092.2207,17841.17969,17841.17969,103160000
2015/4/21,17949.58984,18109.69922,17929.63086,18034.23047,95180000
2015/4/22,18038.26953,18056.01953,17887.75977,17950.82031,91260000
2015/4/23,18058.68945,18133.0293,17966.76953,18031.90039,100240000
2015/4/24,18080.14063,18108.86914,18009.08008,18056.41992,119130000
2015/4/27,18037.9707,18175.56055,18024.66016,18097.89063,121110000
2015/4/28,18110.14063,18119.65039,17917.35938,18035.90039,124930000
2015/4/29,18035.5293,18096.46094,17953.68945,18093.68945,102080000
2015/4/30,17840.51953,18033.33008,17774.89063,18033.33008,129180000
2015/5/1,18024.06055,18028.89063,17859.26953,17859.26953,91700000
2015/5/4,18070.40039,18133.75977,18026.01953,18026.01953,86010000
2015/5/5,17928.19922,18086.00977,17905.71094,18062.5293,95340000
2015/5/6,17841.98047,18019.75,17733.11914,17934.81055,100430000
2015/5/7,17924.06055,17973.07031,17796.93945,17840.25,80920000
2015/5/8,18191.10938,18205.23047,17933.64063,17933.64063,94960000
2015/5/11,18105.16992,18199.94922,18089.10938,18187.7793,86050000
2015/5/12,18068.23047,18119.17969,17924.80078,18096.16016,89270000
2015/5/13,18060.49023,18132.78906,18039.19922,18070.36914,85180000
2015/5/14,18252.24023,18255.21094,18062.49023,18062.49023,91580000
2015/5/15,18272.56055,18272.7207,18215.07031,18251.9707,108220000
2015/5/18,18298.88086,18325.53906,18244.25977,18267.25,79080000
2015/5/19,18312.39063,18351.35938,18261.34961,18300.48047,87200000
2015/5/20,18285.40039,18350.13086,18272.56055,18315.06055,80190000
2015/5/21,18285.74023,18314.89063,18249.90039,18285.86914,84270000
2015/5/22,18232.01953,18286.86914,18217.14063,18286.86914,78890000
2015/5/26,18041.53906,18229.75,17990.01953,18229.75,109440000
2015/5/27,18162.99023,18190.34961,18045.08008,18045.08008,96400000
2015/5/28,18126.11914,18154.14063,18066.40039,18154.14063,67510000
2015/5/29,18010.67969,18128.11914,17967.74023,18128.11914,139810000
2015/6/1,18040.36914,18105.83008,17982.06055,18017.82031,85640000
2015/6/2,18011.93945,18091.86914,17925.33008,18033.33008,77550000
2015/6/3,18076.26953,18168.08984,18010.41992,18018.41992,73120000
2015/6/4,17905.58008,18087.15039,17876.94922,18072.4707,93470000
2015/6/5,17849.46094,17940.7793,17822.90039,17905.38086,89140000
2015/6/8,17766.55078,17852.34961,17760.60938,17849.46094,86300000
2015/6/9,17764.03906,17817.83008,17714.9707,17766.94922,90550000
2015/6/10,18000.40039,18045.14063,17765.38086,17765.38086,96980000
2015/6/11,18039.36914,18109.76953,18001.26953,18001.26953,89490000
2015/6/12,17898.83984,18035.83008,17857.07031,18035.83008,83760000
2015/6/15,17791.16992,17890.75977,17698.41992,17890.75977,91920000
2015/6/16,17904.48047,17919.61914,17774.11914,17787.42969,77510000
2015/6/17,17935.74023,17998,17839.65039,17909.58008,92410000
2015/6/18,18115.83984,18174.73047,17944.60938,17944.60938,94460000
2015/6/19,18015.94922,18117.71094,18010.58008,18116.24023,258300000
2015/6/22,18119.7793,18181.66992,18027.63086,18027.63086,77780000
2015/6/23,18144.07031,18188.81055,18108.09961,18121.7793,75970000
2015/6/24,17966.07031,18139.09961,17966.07031,18139.09961,104980000
2015/6/25,17890.35938,18036.09961,17890.35938,17977.10938,78990000
2015/6/26,17946.67969,18013.15039,17892.0293,17892.0293,158120000
2015/6/29,17596.34961,17936.74023,17590.55078,17936.74023,116340000
2015/6/30,17619.50977,17714.66016,17576.5,17599.96094,126460000
2015/7/1,17757.91016,17801.83008,17638.11914,17638.11914,87010000
2015/7/2,17730.10938,17825.49023,17687.51953,17763.32031,83080000
2015/7/6,17683.58008,17734.35938,17564.35938,17728.08008,90130000
2015/7/7,17776.91016,17793.44922,17465.67969,17684.91992,105840000
2015/7/8,17515.41992,17759.00977,17496.2207,17759.00977,69830000
2015/7/9,17548.61914,17764.84961,17530.38086,17530.38086,100520000
2015/7/10,17760.41016,17797.49023,17561.11914,17561.11914,85800000
2015/7/13,17977.67969,17987.57031,17787.26953,17787.26953,86380000
2015/7/14,18053.58008,18072.82031,17956.16992,17974.60938,76740000
2015/7/15,18050.16992,18090.39063,18010.15039,18053.38086,80460000
